ID,Subject,Email_Body,Intent,Mentioned_Location,Mentioned_Price,Cleaned_Email_Body
3,Offer - 3 bed semi in Croydon,"Dear Sir/Madam, Further to my viewing yesterday of the property at 47 Thornton Heath, I would like to formally submit an offer of £475,000 for the three-bedroom semi-detached house. I am a cash buyer with no chain. Please advise if this is acceptable to the vendor. Kind regards, Michael Thompson",Offer_Submission,Croydon,"£475,000",dear sirmadam viewing yesterday property 47 thornton heath would like formally submit offer £475000 threebedroom semidetached house cash buyer chain please advise acceptable vendor kind regards michael thompson
5,Re: Flat on Archway Road,"Hello, could I please book a viewing for the 1-bed flat you have listed at £1,400 pcm on Archway Road? I'm looking to move in by the end of next month. Tuesday or Wednesday afternoon would be ideal for me.",Viewing_Request,Archway Road,"£1,400",hello could please book viewing 1bed flat listed £1400 pcm archway road im looking move end next month tuesday wednesday afternoon would ideal
8,Viewing request - Canary Wharf apartment,"Dear Team, I am interested in viewing the 2-bedroom apartment in Canary Wharf (E14) listed at £2,100 pcm. I work in the area and would prefer a viewing during my lunch hour if possible, between 12-2pm any day this week. Please confirm availability. Regards, Jennifer Chen",Viewing_Request,E14,"£2,100",dear team interested viewing 2bedroom apartment canary wharf e14 listed £2100 pcm work area would prefer viewing lunch hour possible 122pm day week please confirm availability regards jennifer chen
9,Offer for property ref: SW1-4432,"Good morning, I would like to submit an offer of £825,000 for the property reference SW1-4432 (the 2-bed flat near Victoria Station). I have a mortgage agreement in principle and can complete within 8 weeks. Please let me know if the seller will consider this. Thanks, Robert",Offer_Submission,SW1,"£825,000",good morning would like submit offer £825000 property reference sw14432 2bed flat near victoria station mortgage agreement principle complete within 8 weeks please let know seller consider thanks robert
11,Valuation needed for rental property,"Hello, I own a 1-bed flat in Stratford that I currently let out at £1,250 pcm. The current tenancy ends in two months and I'm considering selling. Could you provide a sales valuation? The property has good transport links and is in a modern development. Thank you.",Valuation_Request,Stratford,"£1,250",hello 1bed flat stratford currently let £1250 pcm current tenancy ends two months im considering selling could provide sales valuation property good transport links modern development thank
12,Viewing - terraced house in Tooting,"Hi, I'd like to view the 3-bed terraced house in Tooting you've got listed for £650k. I'm free this Saturday morning if you have any slots available? Also, do you know the council tax band? Thanks",Viewing_Request,Tooting,"£650,000",hi id like view 3bed terraced house tooting youve got listed £650k im free saturday morning slots available also know council tax band thanks
14,Offer - Studio flat Bethnal Green,"Hi there, following my viewing on Monday, I'd like to offer £280,000 for the studio flat in Bethnal Green. I'm a first-time buyer with a deposit ready and mortgage agreed. Hope this is acceptable. Let me know! Tom",Offer_Submission,Bethnal Green,"£280,000",hi following viewing monday id like offer £280000 studio flat bethnal green im firsttime buyer deposit ready mortgage agreed hope acceptable let know tom
18,Viewing request for rental - Brixton,"Hello! I'm interested in the 2-bed flat in Brixton advertised at £1,800 pcm. Could we arrange a viewing for this Thursday or Friday? I have excellent references from my current landlord. Look forward to hearing from you.",Viewing_Request,Brixton,"£1,800",hello im interested 2bed flat brixton advertised £1800 pcm could arrange viewing thursday friday excellent references current landlord look forward hearing
19,Offer on maisonette - Hackney,"Morning, I'd like to put in an offer of £550,000 for the 2-bed maisonette in Hackney Wick. Saw it last week and really liked it. I'm chain-free with a 25% deposit. What do you reckon the vendor will say? Cheers, Alex",Offer_Submission,Hackney,"£550,000",morning id like put offer £550000 2bed maisonette hackney wick saw last week really liked im chainfree 25 deposit reckon vendor say cheers alex
22,View the flat on Grove Road please,"Hi can I please book a viewing for the 1 bed flat on Grove Road? I'm looking to rent from mid-May. The listing says £1,300 pcm - does that include bills? Available to view anytime this week. Thanks!",Viewing_Request,Grove Road,"£1,300",hi please book viewing 1 bed flat grove road im looking rent midmay listing says £1300 pcm include bills available view anytime week thanks
