ID|Subject|Email_Body|Intent|Mentioned_Location|Mentioned_Price
1|Viewing for 2-bed flat in Camden|Hi there, I saw your listing for the 2-bed flat on Kentish Town Road and would love to arrange a viewing. I'm available any weekday after 5pm or weekends. Please let me know what times work for you. Thanks!|Viewing_Request|Camden|
2|URGENT - No heating again|hi the boilers gone off again for the third time this month and its freezing. i called last week and someone was supposed to come out but no one showed up. can you please send someone today because i have a baby in the flat. this is not acceptable.|Maintenance_Issue||
3|Offer - 3 bed semi in Croydon|Dear Sir/Madam, Further to my viewing yesterday of the property at 47 Thornton Heath, I would like to formally submit an offer of £475,000 for the three-bedroom semi-detached house. I am a cash buyer with no chain. Please advise if this is acceptable to the vendor. Kind regards, Michael Thompson|Offer_Submission|Croydon|£475,000
4|Property valuation needed - Islington|Good afternoon, I'm looking to sell my 2-bedroom flat in Islington and would like to arrange a valuation. The property is on Upper Street, leasehold with approximately 90 years remaining. When would you be available to visit? Best, Sarah|Valuation_Request|Islington|
5|Re: Flat on Archway Road|Hello, could I please book a viewing for the 1-bed flat you have listed at £1,400 pcm on Archway Road? I'm looking to move in by the end of next month. Tuesday or Wednesday afternoon would be ideal for me.|Viewing_Request|Archway Road|£1,400
6|Leak in bathroom ceiling|There's water dripping through the bathroom ceiling into the hallway. It started yesterday evening and has gotten worse overnight. I've put buckets down but it's still coming through. Please can you send a plumber urgently as I'm worried about damage to electrics.|Maintenance_Issue||
7|Valuation - 4 bed detached N18|Hi, I'm considering selling my 4-bedroom detached house in N18 (Edmonton area) and would appreciate a market appraisal. The property is freehold with a good-sized garden and off-street parking. Are you able to visit this week? Cheers, David|Valuation_Request|N18|
8|Viewing request - Canary Wharf apartment|Dear Team, I am interested in viewing the 2-bedroom apartment in Canary Wharf (E14) listed at £2,100 pcm. I work in the area and would prefer a viewing during my lunch hour if possible, between 12-2pm any day this week. Please confirm availability. Regards, Jennifer Chen|Viewing_Request|E14|£2,100
9|Offer for property ref: SW1-4432|Good morning, I would like to submit an offer of £825,000 for the property reference SW1-4432 (the 2-bed flat near Victoria Station). I have a mortgage agreement in principle and can complete within 8 weeks. Please let me know if the seller will consider this. Thanks, Robert|Offer_Submission|SW1|£825,000
10|broken window in bedroom|hi the window in the back bedroom wont close properly and theres a draft coming through. i think the latch is broken. can someone come and fix it please?|Maintenance_Issue||
11|Valuation needed for rental property|Hello, I own a 1-bed flat in Stratford that I currently let out at £1,250 pcm. The current tenancy ends in two months and I'm considering selling. Could you provide a sales valuation? The property has good transport links and is in a modern development. Thank you.|Valuation_Request|Stratford|£1,250
12|Viewing - terraced house in Tooting|Hi, I'd like to view the 3-bed terraced house in Tooting you've got listed for £650k. I'm free this Saturday morning if you have any slots available? Also, do you know the council tax band? Thanks|Viewing_Request|Tooting|£650,000
13|BOILER NOT WORKING - FREEZING|THE BOILER HAS COMPLETELY STOPPED WORKING AND THERES NO HOT WATER OR HEATING. ITS BEEN 2 DAYS SINCE I REPORTED THIS AND STILL NO ONE HAS COME. I HAVE ELDERLY PARENTS STAYING WITH ME. THIS IS UNACCEPTABLE. PLEASE SEND SOMEONE IMMEDIATELY.|Maintenance_Issue||
